month,close,open,high,low,volume
2000-01,259.9238095238095,260.1047619047619,271.7,250.3,30040.0
2000-02,253.78571428571428,254.2904761904762,263.5,247.0,64490.0
2000-03,258.0913043478261,257.81304347826085,272.2,246.8,14560.0
2000-04,270.81052631578945,270.87894736842105,277.5,264.8,47940.0
2000-05,268.8681818181818,269.33181818181816,282.2,256.5,26700.0
2000-06,255.74545454545452,256.25,265.2,246.5,63420.0
2000-07,244.00500000000002,244.125,250.0,241.0,4980.0
2000-08,247.2318181818182,247.1818181818182,254.6,244.1,1680.0
2000-09,258.3,258.075,264.5,255.8,29930.0
2000-10,254.40952380952382,255.10000000000002,262.9,245.0,87250.0
2000-11,258.34761904761905,258.29523809523806,268.4,246.5,38060.0
2000-12,269.7105263157895,269.7105263157895,274.5,262.3,97330.0
2001-01,261.1318181818182,261.34090909090907,265.5,257.0,41680.0
2001-02,263.70500000000004,263.13,275.0,256.6,106310.0
2001-03,284.8818181818182,284.45909090909095,292.8,272.3,42450.0
2001-04,280.90999999999997,280.96999999999997,292.8,271.5,87270.0
2001-05,290.54545454545456,291.1909090909091,305.7,280.1,35760.0
2001-06,306.6380952380952,305.8857142857143,325.0,295.0,87660.0
2001-07,346.50476190476195,345.42857142857144,368.5,319.5,14970.0
2001-08,352.0772727272727,352.26363636363635,369.0,335.5,2830.0
2001-09,337.1470588235294,337.6529411764706,348.0,329.0,35430.0
2001-10,326.79090909090905,326.5,340.3,319.0,85080.0
2001-11,349.28181818181815,349.3681818181818,361.0,334.3,38620.0
2001-12,342.67368421052635,343.4157894736842,357.5,331.0,61250.0
2002-01,342.70454545454544,342.9045454545454,349.8,330.2,33560.0
2002-02,337.315,337.70500000000004,345.2,329.9,63600.0
2002-03,335.62,335.54499999999996,340.5,326.4,28130.0
2002-04,325.1727272727273,325.95454545454544,336.5,314.0,52310.0
2002-05,324.79545454545456,324.39090909090913,345.0,313.0,37630.0
2002-06,341.05,340.71500000000003,360.2,327.8,56250.0
2002-07,388.40909090909093,387.94090909090914,408.0,361.5,4700.0
2002-08,416.45238095238096,416.45238095238096,427.1,398.0,30.0
2002-09,424.64,425.15,434.4,415.0,35970.0
2002-10,426.95,426.55,450.6,408.5,44680.0
2002-11,449.46666666666664,449.8285714285714,459.0,438.0,21610.0
2002-12,426.71999999999997,428.82,453.9,409.9,74270.0
2003-01,407.5217391304348,407.4260869565217,428.9,386.0,38410.0
2003-02,385.325,386.425,405.0,354.0,59630.0
2003-03,357.65714285714284,357.2333333333333,368.9,344.0,30460.0
2003-04,372.42857142857144,372.48571428571427,385.0,357.0,58230.0
2003-05,353.81428571428575,354.37619047619046,364.0,340.5,29280.0
2003-06,343.1047619047619,343.1380952380952,356.5,328.5,65930.0
2003-07,338.71500000000003,338.79,348.5,332.0,4260.0
2003-08,343.88,343.84499999999997,352.6,338.2,310.0
2003-09,350.52857142857147,350.6666666666667,365.0,335.5,46960.0
2003-10,376.2,377.3181818181818,388.9,361.8,106370.0
2003-11,373.81176470588235,373.8764705882353,384.5,365.0,22820.0
2003-12,366.45238095238096,366.72857142857146,372.0,358.3,63360.0
2004-01,370.15714285714284,370.0095238095238,379.3,357.3,53180.0
2004-02,391.185,390.255,415.0,368.0,74590.0
2004-03,421.74782608695654,422.3391304347826,441.3,403.0,49310.0
2004-04,411.5952380952381,412.2285714285714,444.0,395.0,62080.0
2004-05,389.34000000000003,389.995,420.0,360.8,4120.0
2004-06,382.97272727272724,382.1636363636364,395.0,365.5,3740.0
2004-07,345.5,345.9142857142857,379.1,320.5,30.0
2004-08,338.8333333333333,337.5571428571428,371.0,319.6,10.0
2004-09,336.6,338.73809523809524,385.1,299.5,1740.0
2004-10,299.96999999999997,299.74,311.0,282.8,1720.0
2004-11,291.04761904761904,292.1904761904762,302.5,279.7,1420.0
2004-12,276.62380952380954,277.43809523809523,284.9,267.0,19740.0
2005-01,263.21999999999997,264.315,278.9,251.0,46010.0
2005-02,254.52631578947367,254.56842105263158,281.5,243.2,75090.0
2005-03,279.5954545454546,279.9909090909091,295.5,262.5,44700.0
2005-04,281.45238095238096,281.2095238095238,286.1,275.5,50500.0
2005-05,287.725,287.21999999999997,301.0,280.5,35990.0
2005-06,297.21363636363634,298.97727272727275,314.0,282.0,60930.0
2005-07,311.365,311.255,333.3,287.5,310.0
2005-08,315.21818181818185,315.21818181818185,332.7,303.5,0.0
2005-09,268.5571428571428,269.2809523809524,307.3,251.8,55770.0
2005-10,255.035,255.39000000000001,263.4,244.1,83790.0
2005-11,253.5952380952381,253.83809523809526,262.5,245.6,55480.0
2005-12,237.325,238.10500000000002,249.5,228.0,107260.0
2006-01,238.83333333333334,239.05714285714285,245.1,231.9,67480.0
2006-02,242.25789473684208,241.8842105263158,247.4,237.7,107900.0
2006-03,252.01304347826087,251.76521739130436,263.8,239.7,83250.0
2006-04,260.0421052631579,259.7263157894737,269.0,254.2,86990.0
2006-05,277.46190476190475,277.1904761904762,295.0,267.4,70570.0
2006-06,275.19545454545454,275.3727272727273,288.9,264.1,73860.0
2006-07,298.49,298.195,318.8,272.2,49640.0
2006-08,296.42727272727274,296.51363636363635,307.5,287.1,110630.0
2006-09,297.175,297.4,307.8,286.5,133700.0
2006-10,315.6142857142857,314.3619047619048,332.4,296.5,102270.0
2006-11,351.947619047619,351.3,374.6,326.9,77990.0
2006-12,364.9315789473684,364.5263157894737,378.0,350.0,93490.0
2007-01,371.3545454545455,371.52727272727276,388.0,356.0,81760.0
